Obs Type,Source,Species,Depth
Specimen ,Miami,Bathypolypus bairdii,293
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,294
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,335
Specimen ,Miami,Bathypolypus bairdii,335
Specimen ,Miami,Bathypolypus bairdii,335
Specimen ,Miami,Bathypolypus bairdii,335
Specimen ,Miami,Bathypolypus bairdii,247
Specimen ,Miami,Bathypolypus bairdii,247
Specimen ,Miami,Bathypolypus bairdii,247
Specimen ,Miami,Bathypolypus bairdii,247
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,215
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,324
Specimen ,Miami,Bathypolypus bairdii,324
Specimen ,Miami,Bathypolypus bairdii,324
Specimen ,Miami,Bathypolypus bairdii,324
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,310
Specimen ,Miami,Bathypolypus bairdii,347
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,
Specimen ,Miami,Bathypolypus bairdii,345
Specimen ,Miami,Bathypolypus bairdii,320
Specimen ,Miami,Bathypolypus bairdii,348
Specimen ,Miami,Bathypolypus bairdii,672
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
Specimen ,Yale,Bathypolypus bairdii,
